Degree,Major code,Major Name,Total,By Gender,
,,,,Men,Women
  ,  ,"Agr, Cons, Env Sci ",  ,  ,  
MS ,5188 ,Agricultural Production ,6,1,5
MS ,5599 ,Bioprocessing and Bioenergy ,10,6,4
BS ,5318 ,Agric Leadership & Sci Educ ,27,8,19
BS ,5318 ,Agric Leadership & Sci Educ ,28,9,19
MS ,0181 ,Agricultural Education ,10,2,8
MS ,0181 ,Agricultural Education ,22,8,14
BS ,5284 ,Agricultural Communications ,1,0,1
BS ,5284 ,Agricultural Communications ,27,10,17
BS ,5284 ,Agricultural Communications ,10,1,9
BS ,0176 ,Agr & Consumer Economics ,54,29,25
BS ,0176 ,Agr & Consumer Economics ,14,13,1
BS ,0176 ,Agr & Consumer Economics ,142,108,34
BS ,0176 ,Agr & Consumer Economics ,1,0,1
BS ,0176 ,Agr & Consumer Economics ,125,96,29
BS ,0176 ,Agr & Consumer Economics ,35,16,19
BS ,0176 ,Agr & Consumer Economics ,1,0,1
BS ,0176 ,Agr & Consumer Economics ,29,15,14
BS ,0176 ,Agr & Consumer Economics ,75,44,31
BS ,0176 ,Agr & Consumer Economics ,1,1,0
BS ,0176 ,Agr & Consumer Economics ,95,71,24
BS ,0176 ,Agr & Consumer Economics ,75,59,16
MS ,5273 ,Agricultural & Applied Econ ,23,13,10
PHD ,5273 ,Agricultural & Applied Econ ,63,35,28
NDEG ,0067 ,Nondegree ,81,40,41
NONE ,5621 ,ACES Undeclared ,55,26,29
BS ,0002 ,Animal Sciences ,7,2,5
BS ,0002 ,Animal Sciences ,64,6,57
BS ,0002 ,Animal Sciences ,1,0,1
BS ,0002 ,Animal Sciences ,432,76,355
BS ,0002 ,Animal Sciences ,24,6,18
MANSC ,0002 ,Animal Sciences ,4,2,2
MS ,0002 ,Animal Sciences ,54,17,37
PHD ,0002 ,Animal Sciences ,40,19,21
BS ,0037 ,Food Science & Human Nutrition ,135,38,97
BS ,0037 ,Food Science & Human Nutrition ,68,16,52
BS ,0037 ,Food Science & Human Nutrition ,76,4,72
BS ,0037 ,Food Science & Human Nutrition ,54,25,29
MS ,0037 ,Food Science & Human Nutrition ,55,15,40
MS ,0037 ,Food Science & Human Nutrition ,20,12,8
MS ,0037 ,Food Science & Human Nutrition ,15,3,12
MS ,0037 ,Food Science & Human Nutrition ,12,2,10
PHD ,0037 ,Food Science & Human Nutrition ,31,13,18
PHD ,0037 ,Food Science & Human Nutrition ,14,2,12
BS ,0025 ,Technical Systems Management ,173,156,17
BS ,0025 ,Technical Systems Management ,2,1,1
BSAG ,5163 ,Agricultural & Biological Engr ,84,47,37
MS ,0025 ,Technical Systems Management ,2,1,1
MS ,0025 ,Technical Systems Management ,4,3,1
BS ,0048 ,Human Development & Family St ,179,15,163
BS ,0048 ,Human Development & Family St ,56,5,51
NONE ,0048 ,Human Development & Family St ,18,2,16
PHD ,0183 ,Human & Community Development ,1,0,1
PHD ,5577 ,Human Dvlpmt & Family Studies ,24,1,23
BS ,0030 ,Crop Sciences ,9,2,7
